id,question,choices,explanation,answer
381,"Có 60 quả bóng, trong đó có 3 quả bóng màu xanh, 12 quả bóng màu vàng, 15 quả bóng màu đỏ, còn lại là số bóng màu tím. 1/2 số bóng có màu:","['A. Đỏ', 'B. Vàng', 'C. Tím', 'D. Xanh']","Số bóng màu tím có số quả là:
 60-3-12-15=30[quả]
 30 quả = 30/60= 1/2 của 60 quả
 Vậy số bóng đó có màu tím",C. Tím
382,Có 64 chiếc bút được chia vào 8 hộp. Vậy một hộp bút chứa số bút là:,"['A. 8 chiếc', 'B. 7 chiếc', 'C. 6 chiếc', 'D. 5 chiếc']",,A. 8 chiếc
383,"Có 7 bông hồng đỏ, 8 bông hồng vàng và 10 bông hồng trắng, các bông hồng khác nhau từng đôi một. Hỏi có bao nhiêu cách lấy 3 bông hồng có đủ ba màu.","['A. 319', 'B. 3014', 'C. 310', 'D. 310']",,D. 310
384,Có Y - 1237 = 5489. Giá trị của Y là:,"['A. 4252', 'B. 6726', 'C. 4242', 'D. 6736']",,B. 6726
385,"Còn 9 ngày nữa là đến Giáng Sinh, 25 tháng 12, hôm đó là thứ Bảy. Vậy hôm nay là thứ mấy, ngày mấy tháng 12?","['A. Thứ Năm ngày 16', 'B. Thứ Sáu ngày 17', 'C. Thứ Bảy ngày 16', 'D. Chủ nhật ngày 17']","Ngày hôm nay là: 25 – 9 = 16.
 Ta có: 9 ngày = 1 tuần + 2 ngày.
 Vậy hôm nay là thứ Năm",A. Thứ Năm ngày 16
386,"Con bê cân nặng 24kg, con vịt cân nặng 3kg. Con bê có số cân nặng gấp số cân nặng của con vịt:","['A. 7 lần', 'B. 8 lần', 'C. 9 lần', 'D. 10 lần']",,B. 8 lần
387,Con gà con nặng 200 …,"['A. ki-lô-gam', 'B. tấn', 'C. tạ', 'D. gam']",,D. gam
388,"Cửa hàng nhà Mai vừa nhập về 2 thùng tinh bột nghệ. Mỗi thùng có 8 lọ, mỗi lọ có 500 g tinh bột nghệ. Vậy khối lượng tinh bột nghệ cửa hàng nhà Mai đã nhập về là:","['A. 4 000g', 'B. 1kg', 'C. 8kg', 'D. 10 000 g']","Mỗi thùng chưa số gam tinh bột nghệ là: 500 ${\times}$ 8 = 4 000 (g)
 Khối lương tinh bột nghệ cửa hàng nhà Mai đã nhập về là: 4 000 ${\times}$ 2 = 8 000 (g)
 Đổi 8 000 g = 8 kg",C. 8kg
389,"Cửa hàng thứ nhất có 416 gói bánh, cửa hàng thứ hai có 208 gói bánh. Hỏi cửa hàng thứ nhất nhiều hơn cửa hàng thứ hai bao nhiêu gói bánh?","['A. 208 gói bánh', 'B. 210 gói bánh', 'C. 268 gói bánh', 'D. 212 gói bánh']",,A. 208 gói bánh
39,$4\frac{3}{5}$ được viết dưới dạng số thập phân là:,"['A. 4,035', 'B. 4,06', 'C. 4,35', 'D. 4,6']",,"D. 4,6"
390,"Cúc cao 134cm, Hùng cao hơn Cúc 15cm. Hỏi Hùng cao bao nhiêu xăng – ti – mét?","['A. 140cm', 'B. 142cm', 'C. 149cm', 'D. 139cm']",,C. 149cm
391,"Dấu <, >, = thích hợp để điền vào chỗ chấm 124 x 5 … 650 là:","['A. >', 'B. =', 'C. <']",,C. <
392,"Dấu <, >, = thích hợp để điền vào chỗ chấm 5/4...7/4 là:","['A. >', 'B. <', 'C. =', 'D. Không có dấu thích hợp']",,B. <
393,"Dấu <, >, = thích hợp để điền vào chỗ chấm 500g + 5g … 505g là:","['A. <', 'B. =', 'C. >']",,B. =
394,Đâu công thức dạng tính chất kết hợp của phép cộng?,"['A. a + b + c = (a – b) + c', 'B. (a + b) + c = a + (b – c)', 'C. (a + b) + c = a + (b+ c)', 'D. a + b + c = a – (b + c)']",,C. (a + b) + c = a + (b+ c)
395,Đâu là công thức tìm số bé khi biết tổng và hiệu?,"['A. Số bé = tổng – hiệu : 2', 'B. Số bé = (tổng + hiệu) : 2', 'C. Số bé = (tổng – hiệu) : 2', 'D. Số bé = tổng + hiệu : 2']",,C. Số bé = (tổng – hiệu) : 2
396,Dấu thích hợp để điền vào chỗ chấm (9026 – 492)….. 34 = 251 là:,"['A. :', 'B. +', 'C. -', 'D. x']",,A. :
397,Dấu thích hợp để điền vào chỗ chấm 17362 x 258 …. 17362 x (382 – 163 + 39) là:,"['A. >', 'B. <', 'C. =']",,C. =
398,Dấu thích hợp để điền vào chỗ chấm 63958…63859 là,"['A. <', 'B. =', 'C. >']",,C. >
399,Dấu thích hợp điền vào chỗ chấm sau: 35 145 ….. 23640 + 11505 là:,"['A. >', 'B. <', 'C. =', 'D. +']",,C. =
4,“3 tấn 5kg = ……tấn”. Số thích hợp điền vào chỗ chấm là:,"['A. 3005', 'B. 305', 'C. 30,05', 'D. 3,005']","“3 tấn 5kg = 3,005 tấn”.","D. 3,005"
40,$58\frac{27}{1000}$ được viết dưới dạng số thập phân là:,"['A. 58,27', 'B. 58,270', 'C. 58,0027', 'D. 58,027']","$58\frac{27}{1000}$ được viết dưới dạng số thập phân là: 58,027","D. 58,027"
400,Dãy số được sắp xếp theo thứ tự từ bé đến lớn là:,"['A. 5 138; 5 802; 4 913; 6 027', 'B. 8 120; 8 089; 3 925; 8 758', 'C. 5 812; 5 937; 7 036; 7 311', 'D. 1 234; 1 257; 5 617; 3 870']",Dãy số được sắp xếp theo thứ tự từ bé đến lớn là: 5 812; 5 937; 7 036; 7 311,C. 5 812; 5 937; 7 036; 7 311
401,Dãy số được sắp xếp theo thứ tự từ lớn đến bé là:,"['A. 26 562; 27 009; 32 215; 54 292', 'B. 25 342; 20 450; 12 123; 12 124', 'C. 45 223; 34 567; 55 280; 34 990', 'D. 80 158; 23 456; 21 998; 21 990']",Dãy số được sắp xếp theo thứ tự từ lớn đến bé là: 80 158; 23 456; 21 998; 21 990,D. 80 158; 23 456; 21 998; 21 990
402,Dãy số: 9; 1999; 199; 2009; 1000; 79768; 9999; 17 có tất cả mấy số?,"['A. 11 số', 'B. 8 số', 'C. 9 số', 'D. 10 số']",,B. 8 số
403,Dãy tính: 4 + 4 + 4 + 4 + 4 ứng với phép nhân nào?,"['A. 4 x 5', 'B. 4 x 4', 'C. 5 x 4']",,A. 4 x 5
404,"Để lát nền một căn phòng, người ta đã dùng hết 600 viên gạch hình vuông có độ dài cạnh là 3dm. Hỏi phòng học đó có diện tích bao nhiêu mét vuông ?","['A. 54m2 …', 'B. 36m2 …', 'C. 56m2 …', 'D. 60m2 …']",,A. 54m2 …
405,"Để ốp thêm một mảng tường người ta dùng hết 5 viên gạch hình vuông, mỗi viên có độ dài 12cm. Diện tích mảng tường được ốp thêm là:","['A. 710cm2', 'B. 160cm2', 'C. 720cm2', 'D. 700cm2']",,C. 720cm2
406,Diễn đạt “Một trăm chín mươi hai” biểu thị số:,"['A. 192', 'B. 129', 'C. 183', 'D. 163']",,A. 192
407,Điền dấu thích hợp vào chỗ chấm: XXIX…XXVI,"['A. >', 'B. <', 'C. =']",,A. >
408,Điền dấu thích hợp: 22 000 …. 220 220,"['A. >', 'B. <', 'C. =', 'D. không thể so sánh']",,B. <
409,"Điền số thích hợp vào chỗ chấm: 0,009 tấn = …kg","['A. 9', 'B. 90', 'C. 900', 'D. 9000']",,A. 9
41,$7\frac{15}{100}$ ha = …… m2. Số thích hợp cần điền vào chỗ chấm là:,"['A. 715', 'B. 7150', 'C. 71 500', 'D. 745 000']","Ta có: 1 ha = 10 000 m2.Nên $7\frac{15}{100}$ ha = 7,15 ha = 71 500 m2. Vậy số thích hợp cần điền vào chỗ chấm là: 71 500.",C. 71 500
410,Điền số thích hợp vào chỗ chấm: 3 giờ 10 phút = … phút:,"['A. 150 phút', 'B. 170 phút', 'C. 180 phút', 'D. 190 phút']",,D. 190 phút
411,Điền số thích hợp vào chỗ chấm: 4 tờ giấy bạc 5000 đồng và 3 tờ giấy bạc 10000 đồng có tổng số tiền là … đồng,"['A. 50000', 'B. 40000', 'C. 23000', 'D. 15000']",,A. 50000
412,Điền số thích hợp vào chỗ chấm: 68 : 2 < … < 36.,"['A. 39', 'B. 45', 'C. 35', 'D. 50']",,C. 35
413,Điền số thích hợp vào chỗ chấm: Cứ cách …năm là có một năm nhuận:,"['A. 2', 'B. 5', 'C. 4', 'D. 3']",,C. 4
414,Điền số thích hợp vào chỗ chấm: Số “Hai mươi hai nghìn bốn trăm linh ba” được viết là:,"['A. 22 403', 'B. 2 403', 'C. 24 203', 'D. 22 430']",,A. 22 403
415,Điền số thích hợp vào dãy: 4530 ; 4540 ; …. ; …. ; …. ; 4580; 4590,"['A. 4541; 4542; 4543', 'B. 4650; 4760; 4870', 'C. 5530; 5530; 5530', 'D. 4550; 4560; 4570']",,D. 4550; 4560; 4570
416,Điền số thích hợp: 3 tấn × 3 = …. yến,"['A. 9', 'B. 19', 'C. 90', 'D. 900']",,D. 900
417,Điền số thích hợp: Có 30 chiếc cốc xếp đều trên 5 bàn. Như vậy trên 4 bàn thì có … chiếc cốc,"['A. 20', 'B. 24', 'C. 26', 'D. 28']",,B. 24
418,Điền số vào chỗ chấm: 5km 5m = ………. m,"['A. 5500', 'B. 505', 'C. 5005', 'D. 5050']",,C. 5005
419,Điền số vào chỗ trống …. : 4 = 127 là:,"['A. 528', 'B. 518', 'C. 508', 'D. 510']",,C. 508
42,(580 + 321) + 100 = …….,"['A. 580 + 321 – 100', 'B. (580 – 321) + 100', 'C. 580 + (321 + 100)', 'D. 580 – (321 + 100']",,C. 580 + (321 + 100)
420,"Diện tích của hình chữ nhật có chiều dài 12 cm, chiều rộng 7 cm là:","['A.84 cm2', 'B.38 cm', 'C.38 cm2', 'D.84 cm']","Diện tích của hình chữ nhật là: 12 ${\times}$ 7 = 84 (cm2)
 Đáp số: 84 cm2",A.84 cm2
421,Diện tích của hình chữ nhật có chiều dài 3dm và chiều rộng 17cm là:,"['A. 510cm2', 'B. 51cm2', 'C. 51dm2', 'D. 510dm2']",,A. 510cm2
422,Diện tích của hình chữ nhật có chiều rộng bằng 14cm và chiều dài gấp 3 lần chiều rộng là:,"['A. 546cm2', 'B. 588cm2', 'C. 564cm2', 'D. 592cm2']",,B. 588cm2
423,Diện tích của hình chữ nhật có chiều rộng bằng 4/5 chiều dài và chiều dài hơn chiều rộng 18cm là:,"['A. 60cm2', 'B. 70cm2', 'C. 80cm2', 'D. 90cm2']",,C. 80cm2
424,Diện tích của hình chữ nhật có chu vi bằng 100cm và chiều dài bằng 3/2 lần chiều rộng là:,"['A. 3000cm2', 'B. 2400cm2', 'C. 1200cm2', 'D. 600cm2']",,D. 600cm2
425,"Diện tích của hình tam giác có chiều cao là 2,4 cm và độ dài đáy 5 cm là:","['A. 6 cm2', 'B. 12 cm2', 'C. 18 cm2', 'D. 24 cm2']","Diện tích tam giác đó là: (2,4 ${\times}$ 5) : 2 = 6 (cm2)
 Đáp số: 6 cm2",A. 6 cm2
426,Diện tích của hình tròn có bán kính 10 cm là:,"['A. 3,14 cm2', 'B. 31,4 cm2', 'C. 314 cm2']",,"B. 31,4 cm2"
427,Diện tích của hình tròn có bán kính r = 4dm là:,"['A. 25,16dm2', 'B. 25,14dm2', 'C. 50,24dm2', 'D. 25,12dm2']","Diện tích của hình tròn có bán kính r = 4dm là: 4 ${\times}$ 4 ${\times}$ 3,14 = 50,24 (dm2).","C. 50,24dm2"
428,Diện tích của hình tròn có bán kính r = 6cm là:,"['A. 113,4cm2', 'B. 113,04cm2', 'C. 18,84cm2', 'D. 13,04cm2']","Diện tích của hình tròn có bán kính r = 6cm là: 6 ${\times}$ 6 ${\times}$ 3,14 = 113,04 (cm2).","B. 113,04cm2"
429,Diện tích của hình tròn có đường kính 2cm là:,"['A. 3,14cm2', 'B. 12,56cm2', 'C. 6,28cm2', 'D. 25,12cm2']",,"A. 3,14cm2"
43,..... x 8 = 64 Số cần điền vào dấu chấm là:,"['A. 5', 'B. 6', 'C. 7', 'D. 8']",,D. 8
430,Diện tích của hình tròn có đường kính 5cm là:,"['A. 15,7cm2', 'B. 19,625cm2', 'C. 87,135cm2', 'D. 78,5cm2']","Bán kính hình tròn là: 5 : 2 = 2,5 (cm)
 Diện tích của hình tròn có đường kính 5cm là: 2,5 ${\times}$ 2,5 ${\times}$ 3,14 = 19,625 (cm2)","B. 19,625cm2"
431,Diện tích của hình tròn có đường kính 6cm là:,"['A. 18,84cm2', 'B. 113,04cm2', 'C. 28,26cm2', 'D. 26,82cm2']",,"C. 28,26cm2"
432,Diện tích của hình vuông có cạnh dài 9 cm là:,"['A. 64 cm2', 'B. 81 cm2', 'C. 36 cm2', 'D. 49 cm2']",Diện tích của hình vuông có cạnh dài 9 cm là: 9 ${\times}$ 9 = 81 (cm2),B. 81 cm2
433,Diện tích của hình vuông có chu vi 24 cm là:,"['A. 96 cm2', 'B. 64 cm2', 'C. 36 cm2', 'D. 16 cm2']",,C. 36 cm2
434,Diện tích của hình vuông có chu vi bằng 40dm là:,"['A. 1dm2', 'B. 1cm2', 'C. 100m2', 'D. 1m2']",,D. 1m2
435,Diện tich của hình vuông có diện tích bằng diện tích của hình chữ nhật có chiều dài 15cm và chiều rộng 10cm là:,"['A. 150cm2', 'B. 140cm2', 'C. 120cm2', 'D. 100cm2']",,A. 150cm2
436,"Diện tích của một hình chữ nhật có chiều dài 12cm, chiều rộng 8cm là:","['A. 20cm2', 'B. 40cm2', 'C. 48cm2', 'D. 96cm2']",,D. 96cm2
437,"Diện tích của một hình tam giác có độ dài cạnh đáy là 12,5 cm và chiều cao tương ứng là 3dm là:","['A. 18,75 dm2', 'B. 18,75 cm2', 'C. 187,5 cm2', 'D. 187,5 dm2']",,"C. 187,5 cm2"
438,Diện tích của một hình vuông có cạnh bằng 5cm là:,"['A. 25cm2', 'B. 20cm2', 'C. 45cm2', 'D. 16cm2']",,A. 25cm2
439,"Diện tích hình bình hành có cạnh đáy 8 dm, chiều cao 53 cm là:","['A. 424 cm2', 'B. 524 dm2', 'C. 4 240 cm2', 'D. 4 420 cm2']",,C. 4 240 cm2
44,? – 23 508 = 52 672,"['A. 29 164', 'B. 75 170', 'C. 39 174', 'D. 76 180']",Số cần tìm là: 52 672 + 23 508 = 76180,D. 76 180
440,"Diện tích hình chữ nhật có chiều dài a = 4cm và chiều rộng b = 1,2cm là:","['A. 4,08 cm²', 'B. 4,8 cm²', 'C. 48 cm²', 'D. 8,4 cm²']",,"B. 4,8 cm²"
441,Diện tích hình tam giác có chiều cao 3/4 m và độ dài đáy 8/9 m là:,"['A. 1/3m2', 'B. 2/3m2', 'C. 59/36m2', 'D. 59/18m2']",,A. 1/3m2
442,Diện tích hình tròn có bán kính r = 2 dm là:,"['A. 6,28 dm2', 'B. 12,56 dm2', 'C. 25,12 dm2', 'D. 50,24 dm2']",,"B. 12,56 dm2"
443,"Diện tích mảnh vườn hình chữ nhật có chiều dài 25m, chiều rộng bằng $\frac{3}{5}$ chiều dài là:","['A. 80m2', 'B. 357m2', 'C. 275m2', 'D. 375m2']","Chiều rộng mảnh vườn là: 
 $25\times \frac{3{5}=15\left(m^{2}\right)$
 Diện tích mảnh vườn hình chữ nhật là:25 ${\times}$ 15 = 375 (m2)
 Đáp số: 375 m2",B. 357m2
444,"Diện tích một hình bình hành là 1472 cm2. Tính chiều cao hình bình hành đó, biết độ dài tương ứng là 46cm.","['A. 64cm', 'B. 35cm', 'C. 16cm', 'D. 32cm']",,D. 32cm
445,Diện tích một hình vuông là 9 cm2. Hỏi chu vi hình vuông đó là bao nhiêu?,"['A. 3 cm', 'B. 12 cm', 'C. 4 cm', 'D. 36 cm']","Ta thấy 3 ${\times}$ 3 = 9. 
 Nên độ dài cạnh hình vuông là 3 cm
 Chu vi hình vuông đó là: 3 ${\times}$ 4 = 12 (cm)
 Đáp số: 12 cm",B. 12 cm
446,"Diện tích tam giác có đáy 10 cm và chiều cao 1,2 dm là:","['A. 60 cm2', 'B. 60 dm2', 'C. 6 dm2', 'D. 6 cm2']","Đổi: 1,2 dm = 12 cmDiện tích tam giác đó là:10 ${\times}$ 12 : 2 = 60 (cm2)
 Đáp số: 60 cm2",A. 60 cm2
447,"Diện tích toàn phần của hình hộp chữ nhật có chiều dài 6cm, chiều cao 3cm và chiều rộng 4,5cm là:","['A. 216cm2', 'B. 54cm2', 'C. 81cm2', 'D. 135cm2']",,D. 135cm2
448,"Diện tích toàn phần của hình lập phương có cạnh 1,5dm là:","['A. 13,5dm2', 'B. 9dm3', 'C. 33,75dm2', 'D. 2,25dm2']","Diện tích toàn phần của hình lập phương có cạnh 1,5dm là: 1,5 ${\times}$ 1,5 ${\times}$ 6 = 13,5 (dm2)","A. 13,5dm2"
449,Diện tích toàn phần của hình lập phương có cạnh 2 cm là:,"['A. 24cm2', 'B. 16cm2', 'C. 42cm2', 'D. 20cm2']",,A. 24cm2
45,“ $\frac{3}{4}$ ha = …….m2”. Số thích hợp điền vào chỗ trống là:,"['A. 7500', 'B. 750', 'C. 75', 'D. 7,5']",,A. 7500
450,Diện tích toàn phần của hình lập phương có cạnh 9 cm là:,"['A. 468 cm2', 'B. 324 cm2', 'C. 486 cm2', 'D. 729 cm2']",,C. 486 cm2
451,"Diện tích xung quanh của hình hộp chữ nhật có chiều dài 2,4m; chiều rộng 1,5m và chiều cao 1,2m là:","['A. 4,32m2', 'B. 43,2m2', 'C. 4,68m2', 'D. 9,36m2']",,"D. 9,36m2"
452,Điền tiếp vào dãy số: 1037; 1039; …..; ……,"['A. 1040; 1041', 'B. 1041; 1043', 'C. 1040; 1042', 'D. 1042; 1043']",,B. 1041; 1043
453,Hình thoi có hai cặp cạnh đối diện ……… và bốn cạnh ……..,"['A. song song, vuông góc', 'B. vuông góc, song song', 'C. bằng nhau, song song', 'D. song song, bằng nhau']",,"D. song song, bằng nhau"
454,Độ dài cạnh của hình vuông có diện tích bằng 81cm² là:,"['A. 10cm', 'B. 9cm', 'C. 11cm', 'D. 12cm']",,B. 9cm
455,Độ dài của chiếc bút chì dưới đây theo đơn vị xăng-ti-mét là:,"['A. 4 cm', 'B. 3 cm', 'C. 2 cm', 'D. 1 cm']",,D. 1 cm
456,Độ dài của chiếc bút chì dưới đây theo đơn vị xăng-ti-mét là:,"['A. 6 cm', 'B. 5 cm', 'C. 4 cm', 'D. 3 cm']",,A. 6 cm
457,Độ dài của đường gấp khúc ABC biết AB = 513cm và BC = 128cm là:,"['A. 613cm', 'B. 682cm', 'C. 641cm', 'D. 632cm']",,C. 641cm
458,"Độ dài đoạn thẳng AB là 10cm, độ dài đoạn thẳng CD là 2cm. Đoạn thẳng AB gấp đoạn thẳng CD:","['A. 5 lần', 'B. 6 lần', 'C. 7 lần', 'D. 8 lần']",,A. 5 lần
459,"Độ dài đường gấp khúc gồm 4 đoạn thẳng có độ dài lần lượt là 14cm, 16cm, 20cm và 13cm là:","['A. 62cm', 'B. 66cm', 'C. 65cm', 'D. 63cm']",,D. 63cm
46,“ $\frac{3}{5}$ giờ = …..phút” Số thích hợp cần điền vào chỗ chấm là:,"['A. 90 phút', 'B. 36 phút', 'C. 180 phút', 'D. 0,6 phút']",,B. 36 phút
460,Đồ vật sau đây có dạng khối nào?,"['A. Khối lập phương', 'B. Khối hộp chữ nhật', 'C. Khối cầu', 'D. Khối trụ']",,C. Khối cầu
461,Đoạn dây dài 18 m. Đem gấp thành hình tam giác. Mỗi cạnh hình tam giác dài số mét là:,"['A. 9 m', 'B. 8 m', 'C. 4m', 'D. 6 m']",,D. 6 m
462,"Đoạn đường trước cửa nhà Huy dài 50 m. Bố Huy trồng một số cây xà cừ, mỗi cây cách nhau 5 m. Số cây bố Huy trồng được là:","['A. 11 cây', 'B. 10 cây', 'C. 9 cây', 'D. 8 cây']",Số cây bố Huy trồng được là: 50 : $5 + 1 = 11$ (cây),A. 11 cây
463,Đổi 1 thế kỉ = ….. năm,"['A. 1', 'B. 10', 'C. 50', 'D. 100']",,D. 100
464,"Đổi 2,15 giờ ra phút được:","['A. 130 phút', 'B. 134 phút', 'C. 125 phút', 'D. 129 phút']",,D. 129 phút
465,Đổi 3 phút = …. giây,"['A. 60', 'B. 120', 'C. 180', 'D. 80']",,C. 180
466,Đổi 3m2 = …. dm2,"['A. 30', 'B. 300', 'C. 300dm2', 'D. 30dm2']",,C. 300dm2
467,Đổi: 4 tạ 2kg = ….. kg,"['A. 42', 'B. 42kg', 'C. 402', 'D. 402kg']",,C. 402
468,Đơn vị đề-ca-mét vuông được kí hiệu là:,"['A. dam2', 'B. da2', 'C. mad2', 'D. am2']",,A. dam2
469,Đơn vị nào dưới đây bé hơn mét vuông trong bảng đơn vị đo diện tích?,"['A. km2', 'B. mm2', 'C. hm2', 'D. dam2']",,B. mm2
47,"“0,067kg = …..g”. Số thích hợp điền vào chỗ chấm là:","['A. 67', 'B. 6,7', 'C. 670', 'D. 6700']","0,067kg = 67g",A. 67
470,Đơn vị nào dưới đây không phải là đơn vị đo độ dài?,"['A. Ki-lô-gam', 'B. Mét', 'C. Đề-ca-mét', 'D. Héc-tô-mét']",,A. Ki-lô-gam
471,Đơn vị nào dưới đây không phải là đơn vị đo độ dài?,"['A. ki-lô-mét', 'B. mét', 'C. lít', 'D. đề-xi-mét']",,C. lít
472,Đơn vị nào dưới đây lớn hơn mét vuông trong bảng đơn vị đo diện tích?,"['A. mm2', 'B. cm2', 'C. km2', 'D. dm2']",,C. km2
473,Đơn vị nào không phải là đơn vị đo diện tích?,"['A. cm', 'B. cm2', 'C. dm2', 'D. m2']",,A. cm
474,Đơn vị nào sau đây không phải là đơn vị đo diện tích?,"['A. dm2', 'B. m2', 'C. mm2', 'D. cm']",,D. cm
475,Đơn vị thích hợp để điền vào chỗ chấm 3 tạ 56kg = 3560…. là:,"['A. kg', 'B. hg', 'C. dag', 'D. g']",,B. hg
476,Dũng vào học ở trường lúc 8 giờ sáng và tan học lúc 11 giờ trưa. Hỏi Dũng đã ở trường học mấy giờ?,"['A. 4 giờ', 'B. 3 giờ', 'C. 2 giờ', 'D. 1 giờ']",,B. 3 giờ
477,"Gần nhà Mai có một hồ nước hình chữ nhật dài 350 m và rộng 150 m. Chiều nay, Mai đặt mục tiêu chạy 4 km quanh hồ. Mai đã chạy được 2 vòng quanh hồ. Để đạt được mục tiêu, Mai cần chạy thêm số vòng nữa là:","['A. 1 vòng', 'B. 2 vòng', 'C. 3 vòng', 'D. 4 vòng']","Chu vi hồ nước là:(350 + 150) ${\times}$ 2 = 1 000 (m) 
 Đổi 1 000 m = 1 km 
 Mai cần chạy số vòng quanh hồ là:4 : 1 = 4 (vòng)
 Mai cần chạy thêm số vòng là:4 – 2 = 2 (vòng) 
 Đáp số: 2 vòng",B. 2 vòng
478,Gấp 32 lên 3 lần được ………,"['A. 68', 'B. 96', 'C. 66', 'D. 98']",,B. 96
479,Gấp 4 lên 9 lần ta được:,"['A. 13', 'B. 36', 'C. 32', 'D. 40']",,B. 36
48,"“0,56 = …..”. Số thích hợp điền vào chỗ chấm là:","['A. 0,56%', 'B. 5,6%', 'C. 56%', 'D. 560%']","Ta có: 0,56 = 0,56 ${\times}$ 100% = 56%. Vậy số thích hợp điền vào chỗ chấm là: 56%.",C. 56%
480,Gấp 6 lên 3 lần ta được:,"['A. 9', 'B. 18', 'C. 12', 'D. 21']",,B. 18
481,Gấp 8 lên 5 lần ta được :,"['A. 13', 'B. 40', 'C. 32', 'D. 48']",,B. 40
482,Gấp số 7 lên 4 lần ta được số:,"['A. 28', 'B. 36', 'C. 42', 'D. 21']",,A. 28
483,Gia đình Mai đi du lịch từ ngày 29 tháng 7 đến hết ngày 5 tháng 8 cùng năm. Vậy số ngày gia đình Mai đi du lịch là:,"['A. 5 ngày', 'B. 6 ngày', 'C. 7 ngày', 'D. 8 ngày']","Tháng 7 có 31 ngày.
 Vậy số ngày gia đình Mai đi du lịch là: 3 + 5 = 8 (ngày)
 Đáp số: 8 ngày",D. 8 ngày
484,Gia đình Mai gồm 4 người lớn và 1 trẻ em đi tham quan Bảo tàng Quảng Ninh. Giá vé vào cửa là 20 000 đồng một vé cho người lớn và 10 000 đồng một vé cho trẻ em. Vậy gia đình Mai cần số tiền là:,"['A. 90 000 đồng', 'B. 100 000 đồng', 'C. 80 000 đồng', 'D. 120 000 đồng']","4 người lớn cần trả số tiền là: 20 000 ${\times}$ 4 = 80 000 (đồng)
 Gia đình Mai cần số tiền là:80 000 + 10 000 = 90 000 (đồng)
 Đáp số: 90 000 đồng",A. 90 000 đồng
485,Gia đình Mai lên ô tô khởi hành từ Hà Nội lúc 6 giờ 15 phút và đến Hải Phòng lúc 9 giờ rưỡi. Thời gian gia đình Mai đi từ Hà Nội đến Hải Phòng là:,"['A.3 giờ 30 phút', 'B.195 phút', 'C.180 phút', 'D.2 giờ 45 phút']","Thời gian gia đình Mai đi từ Hà Nội đến Hải Phòng là: 9 giờ 30 phút – 6 giờ 15 phút = 3 giờ 15 phút
 Đổi: 3 giờ 15 phút = 195 phút",B.195 phút
486,"Giả sử rằng, trong Đại hội thể dục thể thao tỉnh Gia Lai năm 2018 có 16 đội bóng đăng ký tham gia giải, được chia thành 4 bảng A, B, C, D, mỗi bảng gồm 4 đội cách thức thi đấu như sau:
 
 Vòng 1: Các đội trong mỗi bảng thi đấu vòng tròn một lượt, tính điểm và chọn ra đội nhất của mỗi bảng.
 
 Vòng 2: Đội nhất bảng A gặp đội nhất bảng C; Đội nhất bảng B gặp đội nhất bảng D.
 
 Vòng 3: Tranh giải ba: Hai đội thua trong bán kết; tranh giải nhất: Hai đội thắng trong bán kết.
 
 Biết rằng tất cả các trận đấu đều diễn ra trên sân vận động Pleiku vào các ngày liên tiếp, mỗi ngày 4 trận. Hỏi ban tổ chức cần mượn sân vận động trong bao nhiêu ngày?","['A. 5', 'B. 6', 'C. 7', 'D. 8']",,C. 7
487,"Giá tiền của một cái ba lô cỡ nhỏ là 120 500 đồng, ba lô cỡ lớn có giá đắt hơn cỡ nhỏ là 24500 đồng. Ba lô cỡ lớn có giá tiền là:","['A. 145 000 đồng', 'B. 140 000 đồng', 'C. 145 000', 'D. 140 00']",,A. 145 000 đồng
488,"Giá tiền của một số đồ dùng như sau:
 Bút máy 21 000 đồng
 Vở ô li 8 500 đồng
 Cặp sách 78 000 đồng
 Bộ thước ê-ke 12 000 đồng
 Nga có 100 000 đồng thì có thể mua những món đồ nào để số tiền phải trả là lớn nhất?","['A. Bút máy, vở ô li', 'B. Bút máy, cặp sách', 'C. Cặp sách, bộ ê-ke', 'D. Bộ ê-ke , bút máy']",,"B. Bút máy, cặp sách"
489,Giá trị biểu thức ( 95 + 5) – 67 là:,"['A. 36', 'B. 10', 'C. 33', 'D. 43']",,C. 33
49,"“0,79m3 = ……dm3”. Số thích hợp điền vào chỗ chấm là:","['A. 79', 'B. 790', 'C. 7900', 'D. 79000']","0,79m3 = 790dm3.",B. 790
490,Giá trị biểu thức 700 : 5 x 4 là:,"['A. 35', 'B. 560', 'C. 7500', 'D. 150']",,B. 560
491,Giá trị biểu thức 72 : 9 + 278 là:,"['A. 248', 'B. 268', 'C. 286', 'D. 256']",,C. 286
492,Giá trị chữ số 4 trong số 240 853 là:,"['A. 4', 'B. 40', 'C. 40853', 'D. 40 000']",Giá trị chữ số 4 trong số 240 853 là: 40 000,D. 40 000
493,Giá trị của biểu thức (4536 + 73845) : 9 là:,"['A. 9709', 'B. 12741', 'C. 8709', 'D. 8719']",,C. 8709
494,Giá trị của biểu thức (8290 – 7190) : 2 + 193 x 15 là:,"['A. 3333', 'B. 3335', 'C. 3445', 'D. 3555']",,C. 3445
495,Giá trị của biểu thức \frac{\left(-4\right)^2}{5} là:,"['A. \\frac{-16}{5}', 'B. \\frac{-8}{5}', 'C. \\frac{16}{5}', 'D. \\frac{16}{25}']",,C. \frac{16}{5}
